School Name,District/Charter Holder Name,Content Area,Number Tested,Percent Passing,Performance Level,Performance Percentage
Desert Heights Preparatory Academy,Desert Heights Charter Schools,Math,413,44,Percent Performance Level 3,29
Desert Springs Academy,Desert Springs Academy,Math,31,58,Percent Performance Level 3,48
Desert Star Academy,Desert Star Academy,Math,234,47,Percent Performance Level 3,34
Desert Star Community School,"Desert Star Community School, Inc.",Math,128,39,Percent Performance Level 3,24
Destiny School,"Destiny School, Inc.",Math,178,66,Percent Performance Level 3,40
Discovery Plus Academy,Discovery Plus Academy,Math,59,47,Percent Performance Level 3,31
Double Adobe Elementary School,Double Adobe Elementary District,Math,19,37,Percent Performance Level 3,21
Clawson School,Douglas Unified District,Math,180,44,Percent Performance Level 3,35
Douglas High School,Douglas Unified District,Math,1145,16,Percent Performance Level 3,14
Faras Elementary School,Douglas Unified District,Math,77,29,Percent Performance Level 3,23
Joe Carlson Elementary School,Douglas Unified District,Math,207,40,Percent Performance Level 3,33
Paul H Huber Jr High School,Douglas Unified District,Math,521,26,Percent Performance Level 3,22
Ray Borane Middle School,Douglas Unified District,Math,443,21,Percent Performance Level 3,17
Sarah Marley School,Douglas Unified District,Math,131,18,Percent Performance Level 3,14
Stevenson Elementary School,Douglas Unified District,Math,243,33,Percent Performance Level 3,25
Duncan Elementary,Duncan Unified District,Math,179,32,Percent Performance Level 3,25
Duncan High School,Duncan Unified District,Math,86,24,Percent Performance Level 3,20
Ashton Ranch Elementary School,Dysart Unified District,Math,520,34,Percent Performance Level 3,22
Canyon Ridge School,Dysart Unified District,Math,642,64,Percent Performance Level 3,35
Cimarron Springs Elementary,Dysart Unified District,Math,588,54,Percent Performance Level 3,31
Countryside Elementary School,Dysart Unified District,Math,490,42,Percent Performance Level 3,27
Dysart Elementary School,Dysart Unified District,Math,632,38,Percent Performance Level 3,26
Dysart High School,Dysart Unified District,Math,1208,27,Percent Performance Level 3,22
Dysart iSchool,Dysart Unified District,Math,920,28,Percent Performance Level 3,18
El Mirage School,Dysart Unified District,Math,528,27,Percent Performance Level 3,20
Kingswood Elementary School,Dysart Unified District,Math,386,42,Percent Performance Level 3,25
Luke Elementary School,Dysart Unified District,Math,535,42,Percent Performance Level 3,29
Marley Park Elementary,Dysart Unified District,Math,772,52,Percent Performance Level 3,30
Mountain View,Dysart Unified District,Math,609,45,Percent Performance Level 3,28
Parkview Elementary,Dysart Unified District,Math,454,37,Percent Performance Level 3,27
Rancho Gabriela,Dysart Unified District,Math,636,51,Percent Performance Level 3,29
Riverview School,Dysart Unified District,Math,555,22,Percent Performance Level 3,15
Shadow Ridge High School,Dysart Unified District,Math,1695,35,Percent Performance Level 3,25
Sonoran Heights Elementary,Dysart Unified District,Math,598,59,Percent Performance Level 3,29
Sunset Hills Elementary,Dysart Unified District,Math,801,44,Percent Performance Level 3,29
Surprise Elementary School,Dysart Unified District,Math,573,31,Percent Performance Level 3,21
Thompson Ranch Elementary,Dysart Unified District,Math,557,32,Percent Performance Level 3,23
Valley Vista High School,Dysart Unified District,Math,2020,29,Percent Performance Level 3,22
West Point Elementary School,Dysart Unified District,Math,493,37,Percent Performance Level 3,27
Western Peaks Elementary,Dysart Unified District,Math,626,40,Percent Performance Level 3,27
Willow Canyon High School,Dysart Unified District,Math,1347,30,Percent Performance Level 3,23
EAGLE College Prep Harmony,"EAGLE College Prep Harmony, LLC",Math,130,28,Percent Performance Level 3,19
EAGLE College Prep Maryvale,"EAGLE College Prep Maryvale, LLC",Math,180,38,Percent Performance Level 3,25
EAGLE College Preparatory School- Mesa,"EAGLE College Prep Mesa, LLC.",Math,78,36,Percent Performance Level 3,26
EAGLE College Prep,"EAGLE South Mountain Charter, Inc.",Math,448,43,Percent Performance Level 3,26
Imagine East Mesa Elementary,"East Mesa Charter Elementary School, Inc.",Math,353,56,Percent Performance Level 3,33
EDGE High School - Northwest,"Edge School, Inc., The",Math,17,24,Percent Performance Level 3,18
Arizona Conservatory for Arts and Academics,"Edkey, Inc. - Arizona Conservatory for Arts and Academics",Math,130,48,Percent Performance Level 3,35
Arizona Conservatory for Arts and Academics Middle School,"Edkey, Inc. - Arizona Conservatory for Arts and Academics",Math,190,36,Percent Performance Level 3,27
Edkey Inc. - Pathfinder Academy at Eastmark,"Edkey, Inc. - Pathfinder Academy",Math,130,49,Percent Performance Level 3,23
"Edkey, Inc. - Pathfinder Academy - Sequoia Lehi","Edkey, Inc. - Pathfinder Academy",Math,65,49,Percent Performance Level 3,28
Pathfinder Academy,"Edkey, Inc. - Pathfinder Academy",Math,239,69,Percent Performance Level 3,43
Arizona Conservatory for Arts and Academics Elementary School,"Edkey, Inc. - Redwood Academy",Math,154,38,Percent Performance Level 3,29
Sequoia Elementary School,"Edkey, Inc. - Sequoia Charter School",Math,321,28,Percent Performance Level 3,21
Sequoia Secondary School,"Edkey, Inc. - Sequoia Charter School",Math,299,13,Percent Performance Level 3,11
Sequoia Choice School Arizona Distance Learning School,"Edkey, Inc. - Sequoia Choice Schools",Math,360,36,Percent Performance Level 3,25
Sequoia Pathway Academy,"Edkey, Inc. - Sequoia Pathway Academy",Math,795,38,Percent Performance Level 3,29
George Washington Academy,"Edkey, Inc. - Sequoia Village School",Math,79,34,Percent Performance Level 3,27
Sequoia Village High School,"Edkey, Inc. - Sequoia Village School",Math,54,20,Percent Performance Level 3,17
Sequoia Village School,"Edkey, Inc. - Sequoia Village School",Math,184,28,Percent Performance Level 3,20
Academy Adventures Primary School,"Educational Impact, Inc.",Math,29,31,Percent Performance Level 3,17
Adventure School,"Educational Impact, Inc.",Math,68,24,Percent Performance Level 3,18
EdOptions HS Learning Center,Educational Options Foundation,Math,109,26,Percent Performance Level 3,16
EduPreneurship Student Center (ESC) Phoenix,"EduPreneurship, Inc.",Math,40,15,Percent Performance Level 3,13
Eduprize School,"Eduprize Schools, LLC",Math,1056,63,Percent Performance Level 3,38
EDUPRIZE SCHOOL Gilbert,"Eduprize Schools, LLC",Math,1190,58,Percent Performance Level 3,34
E-Institute at Surprise,"E-Institute Charter Schools, Inc.",Math,93,13,Percent Performance Level 3,11
Elfrida Elementary School,Elfrida Elementary District,Math,84,30,Percent Performance Level 3,20
Eloy Intermediate School,Eloy Elementary District,Math,285,16,Percent Performance Level 3,14
Eloy Junior High School,Eloy Elementary District,Math,296,24,Percent Performance Level 3,18
Copper Canyon Academy,"Employ-Ability Unlimited, Inc.",Math,98,39,Percent Performance Level 3,26
Empower College Prep,Empower College Prep,Math,362,25,Percent Performance Level 3,17
Empower Collegiate Academy,Empower College Prep,Math,319,38,Percent Performance Level 3,29
NFL YET College Prep Academy,Espiritu Community Development Corp.,Math,258,22,Percent Performance Level 3,18
Reyes Maria Ruiz Leadership Academy,Espiritu Community Development Corp.,Math,330,61,Percent Performance Level 3,31
AIM Higher College Prep Academy,Espiritu Schools,Math,52,33,Percent Performance Level 3,21
Maricopa Institute of Technology,Estrella Educational Foundation,Math,81,52,Percent Performance Level 3,35
Ethos Academy- A Challenge Foundation Academy,Ethos Academy - A Challenge Foundation Academy,Math,126,36,Percent Performance Level 3,22
Avalon Elementary,"Excalibur Charter Schools, Inc.",Math,162,51,Percent Performance Level 3,31
Champion Chandler,"Fit Kids, Inc. dba Champion Schools",Math,321,29,Percent Performance Level 3,21
Champion San Tan,"Fit Kids, Inc. dba Champion Schools",Math,264,22,Percent Performance Level 3,15
Champion Schools,"Fit Kids, Inc. dba Champion Schools",Math,382,29,Percent Performance Level 3,21
Flagstaff Arts And Leadership Academy,Flagstaff Arts And Leadership Academy,Math,206,33,Percent Performance Level 3,30
Flagstaff Junior Academy,Flagstaff Junior Academy,Math,232,37,Percent Performance Level 3,26
Montessori Charter School of Flagstaff - Campus,"Flagstaff Montessori, L.L.C.",Math,89,49,Percent Performance Level 3,29
Charles W Sechrist Elementary School,Flagstaff Unified District,Math,220,71,Percent Performance Level 3,41
Coconino High School,Flagstaff Unified District,Math,862,25,Percent Performance Level 3,20
Eva Marshall Elementary School,Flagstaff Unified District,Math,225,36,Percent Performance Level 3,23
Flagstaff High School,Flagstaff Unified District,Math,945,34,Percent Performance Level 3,27
John Q Thomas Elementary School,Flagstaff Unified District,Math,242,36,Percent Performance Level 3,23
Leupp Public School,Flagstaff Unified District,Math,92,25,Percent Performance Level 3,22
Lura Kinsey Elementary School,Flagstaff Unified District,Math,195,30,Percent Performance Level 3,23
Manuel DeMiguel Elementary School,Flagstaff Unified District,Math,316,47,Percent Performance Level 3,32
Mount Elden Middle School,Flagstaff Unified District,Math,856,25,Percent Performance Level 3,17
Sinagua Middle School,Flagstaff Unified District,Math,1035,31,Percent Performance Level 3,21
Sturgeon Cromer Elementary School,Flagstaff Unified District,Math,305,47,Percent Performance Level 3,36
Thomas M Knoles Elementary School,Flagstaff Unified District,Math,311,49,Percent Performance Level 3,35
W F Killip Elementary School,Flagstaff Unified District,Math,237,28,Percent Performance Level 3,24
Weitzel's Puente de Hozho Bilingual Magnet School,Flagstaff Unified District,Math,150,41,Percent Performance Level 3,28
Anthem Elementary School,Florence Unified School District,Math,615,24,Percent Performance Level 3,20
Circle Cross K8 STEM Academy,Florence Unified School District,Math,573,36,Percent Performance Level 3,24
Copper Basin,Florence Unified School District,Math,479,31,Percent Performance Level 3,23
Florence High School,Florence Unified School District,Math,588,27,Percent Performance Level 3,23
Florence K-8,Florence Unified School District,Math,523,27,Percent Performance Level 3,24
Magma Ranch K8 School,Florence Unified School District,Math,528,25,Percent Performance Level 3,19
Poston Butte High School,Florence Unified School District,Math,994,17,Percent Performance Level 3,15
San Tan Foothills High School,Florence Unified School District,Math,508,18,Percent Performance Level 3,16
San Tan Heights Elementary,Florence Unified School District,Math,457,38,Percent Performance Level 3,28
Skyline Ranch Elementary School,Florence Unified School District,Math,544,32,Percent Performance Level 3,25
Walker Butte K-8,Florence Unified School District,Math,499,27,Percent Performance Level 3,21
Centennial Elementary School,Flowing Wells Unified District,Math,298,47,Percent Performance Level 3,37
Flowing Wells High School,Flowing Wells Unified District,Math,1266,28,Percent Performance Level 3,25
Flowing Wells Junior High School,Flowing Wells Unified District,Math,785,35,Percent Performance Level 3,22
Homer Davis Elementary School,Flowing Wells Unified District,Math,291,45,Percent Performance Level 3,35
J Robert Hendricks Elementary School,Flowing Wells Unified District,Math,254,56,Percent Performance Level 3,39
Laguna Elementary School,Flowing Wells Unified District,Math,227,27,Percent Performance Level 3,22
Robert Richardson Elementary School,Flowing Wells Unified District,Math,210,59,Percent Performance Level 3,39
Walter Douglas Elementary School,Flowing Wells Unified District,Math,347,25,Percent Performance Level 3,20
Foothills Academy,Foothills Academy,Math,199,62,Percent Performance Level 3,38
Foothills Academy Connected,Foothills Academy,Math,12,33,Percent Performance Level 3,17
Colonel Smith Middle School,Fort Huachuca Accommodation District,Math,283,43,Percent Performance Level 3,25
General Myer Elementary School,Fort Huachuca Accommodation District,Math,273,64,Percent Performance Level 3,40
Fort Thomas Elementary School,Fort Thomas Unified District,Math,166,28,Percent Performance Level 3,23
Fort Thomas High School,Fort Thomas Unified District,Math,198,12,Percent Performance Level 3,11
Fountain Hills Charter School,Fountain Hills Charter School,Math,31,16,Percent Performance Level 3,6
Fountain Hills High School,Fountain Hills Unified District,Math,297,62,Percent Performance Level 3,45
Fountain Hills Middle School,Fountain Hills Unified District,Math,554,44,Percent Performance Level 3,25
McDowell Mountain Elementary School,Fountain Hills Unified District,Math,94,62,Percent Performance Level 3,39
Fowler Elementary School,Fowler Elementary District,Math,321,25,Percent Performance Level 3,17
Santa Maria Middle School,Fowler Elementary District,Math,733,30,Percent Performance Level 3,21
Sun Canyon School,Fowler Elementary District,Math,348,41,Percent Performance Level 3,26
Sunridge Elementary School,Fowler Elementary District,Math,245,30,Percent Performance Level 3,24
Tuscano Elementary School,Fowler Elementary District,Math,336,30,Percent Performance Level 3,19
Western Valley Elementary School,Fowler Elementary District,Math,309,38,Percent Performance Level 3,28
Western Valley Middle School,Fowler Elementary District,Math,734,18,Percent Performance Level 3,14
Franklin Phonetic Primary School,"Franklin Phonetic Primary School, Inc.",Math,296,47,Percent Performance Level 3,32
Franklin Phonetic Primary School-Sunnyslope,"Franklin Phonetic Primary School, Inc.",Math,32,28,Percent Performance Level 3,22
Fredonia Elementary School,Fredonia-Moccasin Unified District,Math,75,32,Percent Performance Level 3,23
Fredonia High School,Fredonia-Moccasin Unified District,Math,78,27,Percent Performance Level 3,23
Freedom Academy,"Freedom Academy, Inc.",Math,261,59,Percent Performance Level 3,36
Freedom Academy North,"Freedom Academy, Inc.",Math,45,60,Percent Performance Level 3,40
Friendly House Academia Del Pueblo Elem,"Friendly House, Inc.",Math,232,21,Percent Performance Level 3,16
Arizona Desert Elementary School,Gadsden Elementary District,Math,434,35,Percent Performance Level 3,23
Cesar Chavez Elementary,Gadsden Elementary District,Math,432,32,Percent Performance Level 3,23
Desert View Elementary,Gadsden Elementary District,Math,425,46,Percent Performance Level 3,29
Ed Pastor Elementary 4,Gadsden Elementary District,Math,266,25,Percent Performance Level 3,20
Gadsden Elementary School,Gadsden Elementary District,Math,318,19,Percent Performance Level 3,14
Rio Colorado Elementary School,Gadsden Elementary District,Math,414,17,Percent Performance Level 3,13
San Luis Middle School,Gadsden Elementary District,Math,637,18,Percent Performance Level 3,9
Southwest Jr. High School,Gadsden Elementary District,Math,792,27,Percent Performance Level 3,13
Ganado Intermediate School,Ganado Unified School District,Math,311,24,Percent Performance Level 3,20
Ganado Middle School,Ganado Unified School District,Math,350,9,Percent Performance Level 3,6
Student Choice High School,"GAR, LLC dba Student Choice High School",Math,50,10,Percent Performance Level 3,8
George Gervin Prep Academy,"George Gervin Youth Center, Inc.",Math,98,27,Percent Performance Level 3,23
Gila Bend Elementary,Gila Bend Unified District,Math,140,8,Percent Performance Level 3,5
Ashland Elementary,Gilbert Unified District,Math,432,64,Percent Performance Level 3,38
Augusta Ranch Elementary,Gilbert Unified District,Math,574,48,Percent Performance Level 3,33
Boulder Creek Elementary,Gilbert Unified District,Math,375,48,Percent Performance Level 3,33
Burk Elementary School,Gilbert Unified District,Math,203,67,Percent Performance Level 3,40
Campo Verde High School,Gilbert Unified District,Math,1323,55,Percent Performance Level 3,36
Canyon Rim Elementary,Gilbert Unified District,Math,456,68,Percent Performance Level 3,38
Carol Rae Ranch Elementary,Gilbert Unified District,Math,310,75,Percent Performance Level 3,38
Desert Ridge High,Gilbert Unified District,Math,1708,35,Percent Performance Level 3,29
Desert Ridge Jr. High,Gilbert Unified District,Math,1209,44,Percent Performance Level 3,27
Finley Farms Elementary,Gilbert Unified District,Math,378,62,Percent Performance Level 3,38
Gilbert Classical Academy High School,Gilbert Unified District,Math,171,86,Percent Performance Level 3,48
Gilbert Classical Academy Jr.,Gilbert Unified District,Math,214,88,Percent Performance Level 3,37
Gilbert Elementary School,Gilbert Unified District,Math,280,44,Percent Performance Level 3,30
Gilbert Global Academy High School,Gilbert Unified District,Math,385,42,Percent Performance Level 3,28
Gilbert Global Academy Junior High,Gilbert Unified District,Math,35,49,Percent Performance Level 3,23
Gilbert High School,Gilbert Unified District,Math,1167,33,Percent Performance Level 3,25
Greenfield Elementary School,Gilbert Unified District,Math,534,78,Percent Performance Level 3,37
Greenfield Junior High School,Gilbert Unified District,Math,886,57,Percent Performance Level 3,30
Harris Elementary School,Gilbert Unified District,Math,261,30,Percent Performance Level 3,23
Highland High School,Gilbert Unified District,Math,2029,48,Percent Performance Level 3,35
Highland Jr High School,Gilbert Unified District,Math,1194,56,Percent Performance Level 3,29
Highland Park Elementary,Gilbert Unified District,Math,502,72,Percent Performance Level 3,42
Houston Elementary School,Gilbert Unified District,Math,228,46,Percent Performance Level 3,31
Islands Elementary School,Gilbert Unified District,Math,306,60,Percent Performance Level 3,37
Meridian,Gilbert Unified District,Math,488,57,Percent Performance Level 3,38
Mesquite Elementary School,Gilbert Unified District,Math,344,64,Percent Performance Level 3,34
Mesquite High School,Gilbert Unified District,Math,820,42,Percent Performance Level 3,33
Mesquite Jr High School,Gilbert Unified District,Math,982,38,Percent Performance Level 3,23
Neely Traditional Academy,Gilbert Unified District,Math,437,86,Percent Performance Level 3,33
Oak Tree Elementary,Gilbert Unified District,Math,327,48,Percent Performance Level 3,32
Patterson Elementary School,Gilbert Unified District,Math,311,69,Percent Performance Level 3,43
Pioneer Elementary School,Gilbert Unified District,Math,302,68,Percent Performance Level 3,38
Playa del Rey Elementary School,Gilbert Unified District,Math,241,56,Percent Performance Level 3,34
Quartz Hill Elementary,Gilbert Unified District,Math,407,69,Percent Performance Level 3,37
Settlers Point Elementary,Gilbert Unified District,Math,378,44,Percent Performance Level 3,33
Sonoma Ranch Elementary School,Gilbert Unified District,Math,227,67,Percent Performance Level 3,43
South Valley Jr. High,Gilbert Unified District,Math,993,55,Percent Performance Level 3,30
Spectrum Elementary,Gilbert Unified District,Math,329,65,Percent Performance Level 3,36
Superstition Springs Elementary,Gilbert Unified District,Math,435,62,Percent Performance Level 3,38
Towne Meadows Elementary School,Gilbert Unified District,Math,447,59,Percent Performance Level 3,35
Val Vista Lakes Elementary School,Gilbert Unified District,Math,292,60,Percent Performance Level 3,43
Bicentennial North School,Glendale Elementary District,Math,743,23,Percent Performance Level 3,15
Bicentennial South School,Glendale Elementary District,Math,143,40,Percent Performance Level 3,31
Challenger Middle School,Glendale Elementary District,Math,709,29,Percent Performance Level 3,19
Coyote Ridge,Glendale Elementary District,Math,528,38,Percent Performance Level 3,27
Desert Garden Elementary School,Glendale Elementary District,Math,148,43,Percent Performance Level 3,26
Desert Spirit,Glendale Elementary District,Math,609,41,Percent Performance Level 3,26
Discovery School,Glendale Elementary District,Math,512,36,Percent Performance Level 3,22
Don Mensendick School,Glendale Elementary District,Math,924,22,Percent Performance Level 3,15
Glendale American School,Glendale Elementary District,Math,484,36,Percent Performance Level 3,25
Glendale Landmark School,Glendale Elementary District,Math,530,39,Percent Performance Level 3,27
Glenn F Burton School,Glendale Elementary District,Math,430,35,Percent Performance Level 3,23
Harold W Smith School,Glendale Elementary District,Math,584,28,Percent Performance Level 3,20
Horizon School,Glendale Elementary District,Math,602,42,Percent Performance Level 3,27
Isaac E Imes School,Glendale Elementary District,Math,357,24,Percent Performance Level 3,19
Melvin E Sine School,Glendale Elementary District,Math,425,22,Percent Performance Level 3,16
Sunset Vista,Glendale Elementary District,Math,574,41,Percent Performance Level 3,23
William C Jack School,Glendale Elementary District,Math,187,43,Percent Performance Level 3,29
Great Hearts Academies - Glendale Prep,Glendale Preparatory Academy,Math,427,69,Percent Performance Level 3,44
Apollo High School,Glendale Union High School District,Math,1182,51,Percent Performance Level 3,41
Cortez High School,Glendale Union High School District,Math,651,36,Percent Performance Level 3,31
Glendale High School,Glendale Union High School District,Math,992,32,Percent Performance Level 3,27
Glendale Union High School District Online Learning Academy,Glendale Union High School District,Math,100,18,Percent Performance Level 3,15
Greenway High School,Glendale Union High School District,Math,853,51,Percent Performance Level 3,42
Independence High School,Glendale Union High School District,Math,1174,39,Percent Performance Level 3,33
Moon Valley High School,Glendale Union High School District,Math,922,45,Percent Performance Level 3,37
Sunnyslope High School,Glendale Union High School District,Math,1228,53,Percent Performance Level 3,38
Thunderbird High School,Glendale Union High School District,Math,945,58,Percent Performance Level 3,45
Washington High School,Glendale Union High School District,Math,1123,37,Percent Performance Level 3,28
Copper Rim Elementary School,Globe Unified District,Math,388,26,Percent Performance Level 3,19
Globe High School,Globe Unified District,Math,327,16,Percent Performance Level 3,13
High Desert Middle School,Globe Unified District,Math,316,11,Percent Performance Level 3,8
Grand Canyon Elementary,Grand Canyon Unified District,Math,155,36,Percent Performance Level 3,25
Grand Canyon High School,Grand Canyon Unified District,Math,56,45,Percent Performance Level 3,30
Great Expectations Academy,Great Expectations Academy,Math,185,54,Percent Performance Level 3,38
Children Reaching for the Sky Preparatory,"Griffin Foundation, Inc. The",Math,69,25,Percent Performance Level 3,20
Future Investment Middle School,"Griffin Foundation, Inc. The",Math,70,34,Percent Performance Level 3,21
Cedar Hills School,Hackberry School District,Math,19,68,Percent Performance Level 3,53
Happy Valley School East Campus,Happy Valley East,Math,262,39,Percent Performance Level 3,24
Happy Valley School,"Happy Valley School, Inc.",Math,274,74,Percent Performance Level 3,49
Harvest Preparatory Academy,"Harvest Power Community Development Group, Inc.",Math,653,24,Percent Performance Level 3,20
"Harvest Preparatory Academy, Goodyear","Harvest Power Community Development Group, Inc.",Math,171,22,Percent Performance Level 3,18
"Harvest Preparatory Academy, San Luis AZ","Harvest Power Community Development Group, Inc.",Math,346,31,Percent Performance Level 3,25
Leonor Hambly K-8,Hayden-Winkelman Unified District,Math,112,24,Percent Performance Level 3,19
Capps Elementary School,Heber-Overgaard Unified District,Math,125,68,Percent Performance Level 3,28
Mogollon High School,Heber-Overgaard Unified District,Math,86,31,Percent Performance Level 3,26
Mogollon Jr High School,Heber-Overgaard Unified District,Math,80,31,Percent Performance Level 3,25
Mountain Meadows Primary,Heber-Overgaard Unified District,Math,31,65,Percent Performance Level 3,26
Heritage Academy Laveen,"Heritage Academy Laveen, Inc.",Math,444,36,Percent Performance Level 3,26
Heritage Academy Queen Creek,"Heritage Academy Queen Creek, Inc.",Math,413,62,Percent Performance Level 3,40
Heritage Academy,"Heritage Academy, Inc.",Math,605,51,Percent Performance Level 3,37
Heritage Elementary - Williams,Heritage Elementary School,Math,52,37,Percent Performance Level 3,25
Heritage Elementary School,Heritage Elementary School,Math,605,52,Percent Performance Level 3,33
Hermosa Montessori Charter,Hermosa Montessori Charter School,Math,139,70,Percent Performance Level 3,28
Highland Free School,Highland Free School,Math,27,63,Percent Performance Level 3,44
Highland Prep,Highland Prep,Math,77,84,Percent Performance Level 3,53
Bridges Elementary School,Higley Unified School District,Math,406,86,Percent Performance Level 3,33
Centennial Elementary School,Higley Unified School District,Math,518,60,Percent Performance Level 3,39
Chaparral Elementary School,Higley Unified School District,Math,503,65,Percent Performance Level 3,39
Cooley Middle School,Higley Unified School District,Math,850,56,Percent Performance Level 3,24
Coronado Elementary School,Higley Unified School District,Math,362,63,Percent Performance Level 3,37
Cortina Elementary,Higley Unified School District,Math,538,77,Percent Performance Level 3,35
Gateway Pointe Elementary,Higley Unified School District,Math,472,58,Percent Performance Level 3,38
Higley High School,Higley Unified School District,Math,1161,59,Percent Performance Level 3,39
Higley Traditional Academy,Higley Unified School District,Math,374,75,Percent Performance Level 3,35
Power Ranch Elementary,Higley Unified School District,Math,352,68,Percent Performance Level 3,37
San Tan Elementary,Higley Unified School District,Math,426,77,Percent Performance Level 3,38
Sossaman Middle School,Higley Unified School District,Math,1023,61,Percent Performance Level 3,27
Williams Field High School,Higley Unified School District,Math,1221,45,Percent Performance Level 3,34
Hillside Elementary School,Hillside Elementary District,Math,19,37,Percent Performance Level 3,26
Holbrook High School,Holbrook Unified District,Math,452,29,Percent Performance Level 3,23
Holbrook Junior High School,Holbrook Unified District,Math,367,27,Percent Performance Level 3,20
Hulet Elementary School,Holbrook Unified District,Math,279,39,Percent Performance Level 3,29
Indian Wells Elementary,Holbrook Unified District,Math,204,21,Percent Performance Level 3,17
Horizon Honors Elementary School,"Horizon Community Learning Center, Inc.",Math,482,69,Percent Performance Level 3,40
Horizon Honors Secondary School,"Horizon Community Learning Center, Inc.",Math,551,58,Percent Performance Level 3,36
International Commerce High School - Tempe,"Humanities and Sciences Academy of the United States, Inc.",Math,30,27,Percent Performance Level 3,23
Bradshaw Mountain High School,Humboldt Unified District,Math,1076,27,Percent Performance Level 3,24
Bradshaw Mountain Middle School,Humboldt Unified District,Math,289,35,Percent Performance Level 3,26
Coyote Springs Elementary School,Humboldt Unified District,Math,370,45,Percent Performance Level 3,34
Glassford Hill Middle School,Humboldt Unified District,Math,387,31,Percent Performance Level 3,20
Granville Elementary School,Humboldt Unified District,Math,334,47,Percent Performance Level 3,33
Humboldt Elementary School,Humboldt Unified District,Math,241,48,Percent Performance Level 3,39
Lake Valley Elementary School,Humboldt Unified District,Math,266,35,Percent Performance Level 3,24
Liberty Traditional School,Humboldt Unified District,Math,543,57,Percent Performance Level 3,34
Mountain View Elementary School,Humboldt Unified District,Math,311,32,Percent Performance Level 3,22
Dateland Elementary School,Hyder Elementary District,Math,62,45,Percent Performance Level 3,34
Imagine Avondale Elementary,"Imagine Avondale Elementary, Inc.",Math,271,51,Percent Performance Level 3,34
Imagine Avondale Middle,"Imagine Avondale Middle, Inc.",Math,232,29,Percent Performance Level 3,20
Imagine Camelback Middle,"Imagine Camelback Middle, Inc.",Math,184,22,Percent Performance Level 3,16
Imagine Desert West Elementary,"Imagine Charter Elementary at Desert West, Inc.",Math,415,30,Percent Performance Level 3,24
Imagine Coolidge Elementary,"Imagine Coolidge Elementary, Inc.",Math,311,36,Percent Performance Level 3,23
Imagine Desert West Middle,"Imagine Desert West Middle, Inc.",Math,397,28,Percent Performance Level 3,21
Imagine Tempe,"Imagine Elementary at Tempe, Inc.",Math,123,37,Percent Performance Level 3,27
Imagine East Mesa Middle,"Imagine Middle at East Mesa, Inc.",Math,125,45,Percent Performance Level 3,26
Imagine Surprise Middle,"Imagine Middle at Surprise, Inc.",Math,375,39,Percent Performance Level 3,30
Imagine Prep Coolidge,"Imagine Prep Coolidge, Inc.",Math,481,13,Percent Performance Level 3,9
Imagine Prep Superstition,"Imagine Prep Superstition, Inc.",Math,266,38,Percent Performance Level 3,29
Imagine Prep Surprise,"Imagine Prep Surprise, Inc.",Math,253,43,Percent Performance Level 3,32
Imagine Superstition Middle,"Imagine Superstition Middle, Inc.",Math,184,39,Percent Performance Level 3,23
Incito Schools,Incito Schools,Math,219,26,Percent Performance Level 3,20
Copper Point High School,Innovative Humanities Education Corporation,Math,116,9,Percent Performance Level 3,6
Intelli-School - Paradise Valley,"Intelli-School, Inc.",Math,27,56,Percent Performance Level 3,52
Alta E Butler School,Isaac Elementary District,Math,356,18,Percent Performance Level 3,14
Esperanza Elementary School,Isaac Elementary District,Math,223,29,Percent Performance Level 3,21
Isaac Middle School,Isaac Elementary District,Math,790,10,Percent Performance Level 3,9
J B Sutton Elementary School,Isaac Elementary District,Math,324,21,Percent Performance Level 3,16
Joseph Zito Elementary School,Isaac Elementary District,Math,332,22,Percent Performance Level 3,17
Mitchell Elementary School,Isaac Elementary District,Math,284,23,Percent Performance Level 3,17
Morris K. Udall Escuela de Bellas Artes,Isaac Elementary District,Math,709,12,Percent Performance Level 3,9
Moya Elementary,Isaac Elementary District,Math,266,18,Percent Performance Level 3,15
P T Coe Elementary School,Isaac Elementary District,Math,282,23,Percent Performance Level 3,21
Pueblo Del Sol Middle School,Isaac Elementary District,Math,897,25,Percent Performance Level 3,18
Combs High School,J O Combs Unified School District,Math,975,29,Percent Performance Level 3,24
Combs Traditional Academy,J O Combs Unified School District,Math,153,64,Percent Performance Level 3,33
Ellsworth Elementary School,J O Combs Unified School District,Math,364,32,Percent Performance Level 3,24
J. O. Combs Middle School,J O Combs Unified School District,Math,736,28,Percent Performance Level 3,17
Jack Harmon Elementary School,J O Combs Unified School District,Math,340,39,Percent Performance Level 3,26
Kathryn Sue Simonton Elementary,J O Combs Unified School District,Math,303,41,Percent Performance Level 3,30
Ranch Elementary School,J O Combs Unified School District,Math,240,56,Percent Performance Level 3,34
James Madison Preparatory School,James Madison Preparatory School,Math,135,40,Percent Performance Level 3,33
Joseph City Elementary School,Joseph City Unified District,Math,132,59,Percent Performance Level 3,33
Joseph City Junior High School,Joseph City Unified District,Math,60,32,Percent Performance Level 3,25
Desert View Academy,Juniper Tree Academy,Math,342,59,Percent Performance Level 3,38
Desert Mirage Preparatory Academy,Kaizen Education Foundation dba Discover U Elementary School,Math,78,19,Percent Performance Level 3,17
Glenview College Preparatory High School,Kaizen Education Foundation dba El Dorado High School,Math,240,30,Percent Performance Level 3,26
