School Name,District/Charter Holder Name,Content Area,Number Tested,Percent Passing,Performance Level,Performance Percentage
Synergy Public School,"Synergy Public School, Inc.",Math,112,24,Percent Performance Level 1,54
SySTEM Phoenix,SySTEM Schools,Math,86,17,Percent Performance Level 1,65
Agua Caliente School,Tanque Verde Unified District,Math,315,55,Percent Performance Level 1,19
Emily Gray Junior High School,Tanque Verde Unified District,Math,375,49,Percent Performance Level 1,24
Tanque Verde Elementary School,Tanque Verde Unified District,Math,411,60,Percent Performance Level 1,13
Tanque Verde High School,Tanque Verde Unified District,Math,372,53,Percent Performance Level 1,19
Great Hearts Academies - Teleos Prep,Teleos Preparatory Academy,Math,121,38,Percent Performance Level 1,30
Telesis Preparatory,"Telesis Center for Learning, Inc.",Math,227,48,Percent Performance Level 1,27
Telesis Preparatory Academy,"Telesis Center for Learning, Inc.",Math,69,43,Percent Performance Level 1,29
Tempe Preparatory Academy,Tempe Preparatory Academy,Math,314,68,Percent Performance Level 1,11
Aguilar School,Tempe School District,Math,244,41,Percent Performance Level 1,27
Arredondo Elementary School,Tempe School District,Math,192,44,Percent Performance Level 1,33
Broadmor Elementary School,Tempe School District,Math,337,62,Percent Performance Level 1,11
Carminati School,Tempe School District,Math,162,49,Percent Performance Level 1,28
Connolly Middle School,Tempe School District,Math,1257,42,Percent Performance Level 1,40
Curry Elementary School,Tempe School District,Math,280,41,Percent Performance Level 1,32
Fees College Preparatory Middle School,Tempe School District,Math,908,30,Percent Performance Level 1,53
Flora Thew Elementary School,Tempe School District,Math,302,27,Percent Performance Level 1,42
Frank Elementary School,Tempe School District,Math,276,36,Percent Performance Level 1,31
Fuller Elementary School,Tempe School District,Math,333,72,Percent Performance Level 1,11
Gililland Middle School,Tempe School District,Math,953,22,Percent Performance Level 1,60
Holdeman Elementary School,Tempe School District,Math,287,20,Percent Performance Level 1,41
Hudson Elementary School,Tempe School District,Math,228,68,Percent Performance Level 1,11
Laird Elementary School,Tempe School District,Math,408,33,Percent Performance Level 1,39
Nevitt Elementary School,Tempe School District,Math,402,44,Percent Performance Level 1,28
Rover Elementary School,Tempe School District,Math,241,58,Percent Performance Level 1,17
Scales Technology Academy,Tempe School District,Math,198,25,Percent Performance Level 1,40
Tempe Academy of International Studies McKemy Campus,Tempe School District,Math,359,46,Percent Performance Level 1,27
Ward Traditional Academy,Tempe School District,Math,380,68,Percent Performance Level 1,11
Wood School,Tempe School District,Math,247,31,Percent Performance Level 1,31
Corona Del Sol High School,Tempe Union High School District,Math,1581,49,Percent Performance Level 1,27
Desert Vista High School,Tempe Union High School District,Math,1747,55,Percent Performance Level 1,22
