School Name,District/Charter Holder Name,Content Area,Test Level,Subgroup/Ethnicity,Number Tested,Percent Passing,Percent Performance Level 1,Percent Performance Level 2,Percent Performance Level 3,Percent Performance Level 4
Akimel O'Otham Pee Posh (3-5),"Akimel O'Otham Pee Posh Charter School, Inc.",English Language Arts,All,All Students,129,32,56,12,29,3
Akimel O'Otham Pee Posh (3-5),"Akimel O'Otham Pee Posh Charter School, Inc.",Math,All,All Students,129,32,34,34,28,4
Alhambra Traditional School,Alhambra Elementary District,English Language Arts,All,All Students,432,80,7,13,54,25
Andalucia Middle School,Alhambra Elementary District,Math,All,All Students,1077,27,53,21,19,8
Barcelona Middle School,Alhambra Elementary District,English Language Arts,All,All Students,698,19,65,15,16,3
Barcelona Middle School,Alhambra Elementary District,Math,All,All Students,725,21,58,21,15,6
Carol G. Peck Elementary School,Alhambra Elementary District,English Language Arts,All,All Students,147,36,50,14,24,12
Carol G. Peck Elementary School,Alhambra Elementary District,Math,All,All Students,148,48,31,21,33,15
Catalina Ventura School,Alhambra Elementary District,English Language Arts,All,All Students,840,35,41,24,30,5
Catalina Ventura School,Alhambra Elementary District,Math,All,All Students,877,35,40,24,27,8
Cordova Elementary School,Alhambra Elementary District,English Language Arts,All,All Students,606,23,60,17,20,3
Cordova Elementary School,Alhambra Elementary District,Math,All,All Students,653,33,44,23,21,12
Granada East School,Alhambra Elementary District,English Language Arts,All,All Students,1053,22,59,19,20,2
Granada East School,Alhambra Elementary District,Math,All,All Students,1119,26,52,22,20,5
Granada Primary School,Alhambra Elementary District,English Language Arts,All,All Students,203,30,59,12,25,4
Granada Primary School,Alhambra Elementary District,Math,All,All Students,204,51,29,20,30,21
James W. Rice Primary School,Alhambra Elementary District,English Language Arts,All,All Students,214,28,66,6,21,7
James W. Rice Primary School,Alhambra Elementary District,Math,All,All Students,215,29,47,24,21,8
Montebello School,Alhambra Elementary District,English Language Arts,All,All Students,881,17,68,15,14,2
Montebello School,Alhambra Elementary District,Math,All,All Students,884,20,60,20,15,6
R E Simpson School,Alhambra Elementary District,English Language Arts,All,All Students,789,18,66,15,15,3
R E Simpson School,Alhambra Elementary District,Math,All,All Students,862,27,55,18,20,7
Sevilla Primary School,Alhambra Elementary District,English Language Arts,All,All Students,215,20,72,8,18,2
Sevilla Primary School,Alhambra Elementary District,Math,All,All Students,215,35,36,28,25,11
Sevilla West School,Alhambra Elementary District,English Language Arts,All,All Students,1114,26,55,19,21,5
Sevilla West School,Alhambra Elementary District,Math,All,All Students,1183,40,40,20,25,15
Westwood Primary School,Alhambra Elementary District,English Language Arts,All,All Students,186,16,74,10,14,2
Westwood Primary School,Alhambra Elementary District,Math,All,All Students,188,24,49,26,18,6
All Aboard Charter School,All Aboard Charter School,English Language Arts,All,All Students,59,64,20,15,46,19
All Aboard Charter School,All Aboard Charter School,Math,All,All Students,59,39,32,29,27,12
Center for Educational Excellence,"Allen-Cochran Enterprises, Inc.",English Language Arts,All,All Students,203,68,17,15,52,17
Center for Educational Excellence,"Allen-Cochran Enterprises, Inc.",Math,All,All Students,203,62,14,25,41,21
Alpine Elementary School,Alpine Elementary District,English Language Arts,All,All Students,38,61,13,26,42,18
Alpine Elementary School,Alpine Elementary District,Math,All,All Students,38,74,13,13,47,26
Altar Valley Middle School,Altar Valley Elementary District,English Language Arts,All,All Students,300,23,54,23,19,4
Altar Valley Middle School,Altar Valley Elementary District,Math,All,All Students,291,29,51,21,19,10
Robles Elementary School,Altar Valley Elementary District,English Language Arts,All,All Students,129,29,58,13,22,6
Robles Elementary School,Altar Valley Elementary District,Math,All,All Students,130,32,36,32,22,9
Burke Basic School,American Basic Schools LLC,English Language Arts,All,All Students,453,44,34,23,35,9
Burke Basic School,American Basic Schools LLC,Math,All,All Students,453,54,19,28,30,24
Alta Vista High School,American Charter Schools Foundation d.b.a. Alta Vista High School,English Language Arts,All,All Students,402,18,61,21,15,3
Alta Vista High School,American Charter Schools Foundation d.b.a. Alta Vista High School,Math,All,All Students,373,23,60,18,18,4
Apache Trail High School,American Charter Schools Foundation d.b.a. Apache Trail High School,English Language Arts,All,All Students,155,10,74,16,8,2
Desert Hills High School,American Charter Schools Foundation d.b.a. Desert Hills High School,Math,All,All Students,116,7,80,13,5,2
Peoria Accelerated High School,American Charter Schools Foundation d.b.a. Peoria Accelerated High School,English Language Arts,All,All Students,380,12,74,14,10,2
South Pointe High School,American Charter Schools Foundation d.b.a. South Pointe High School,English Language Arts,All,All Students,260,12,69,19,8,4
South Pointe High School,American Charter Schools Foundation d.b.a. South Pointe High School,Math,All,All Students,225,13,67,20,11,2
South Ridge High School,American Charter Schools Foundation d.b.a. South Ridge High School,English Language Arts,All,All Students,201,31,46,23,25,5
South Ridge High School,American Charter Schools Foundation d.b.a. South Ridge High School,Math,All,All Students,180,34,39,26,26,8
Sun Valley High School,American Charter Schools Foundation d.b.a. Sun Valley High School,English Language Arts,All,All Students,279,17,62,21,14,3
American Heritage Academy - Camp Verde,American Heritage Academy,English Language Arts,All,All Students,98,39,45,16,32,7
American Heritage Academy - Camp Verde,American Heritage Academy,Math,All,All Students,100,29,49,22,22,7
American Heritage Academy - Cottonwood,American Heritage Academy,English Language Arts,All,All Students,204,27,54,19,23,5
American Heritage Academy - Cottonwood,American Heritage Academy,Math,All,All Students,208,31,47,22,25,6
ALA Mesa,"American Leadership Academy, Inc.",English Language Arts,All,All Students,239,54,25,21,38,16
ALA Mesa,"American Leadership Academy, Inc.",Math,All,All Students,239,65,16,19,38,27
ALA San Tan,"American Leadership Academy, Inc.",English Language Arts,All,All Students,375,59,25,15,44,15
ALA San Tan,"American Leadership Academy, Inc.",Math,All,All Students,376,67,14,19,41,26
American Leadership Academy,"American Leadership Academy, Inc.",English Language Arts,All,All Students,261,73,14,13,48,25
American Leadership Academy,"American Leadership Academy, Inc.",Math,All,All Students,261,79,8,14,37,42
American Leadership Academy - Ironwood,"American Leadership Academy, Inc.",English Language Arts,All,All Students,1613,50,28,22,38,13
American Leadership Academy - Ironwood,"American Leadership Academy, Inc.",Math,All,All Students,1577,51,27,22,36,16
American Leadership Academy - Queen Creek,"American Leadership Academy, Inc.",English Language Arts,All,All Students,1663,54,26,20,38,17
American Leadership Academy - Queen Creek,"American Leadership Academy, Inc.",Math,All,All Students,1562,55,25,20,35,20
American Leadership Academy Anthem South Campus,"American Leadership Academy, Inc.",English Language Arts,All,All Students,179,44,32,25,38,6
American Leadership Academy Anthem South Campus,"American Leadership Academy, Inc.",Math,All,All Students,179,62,14,24,37,25
American Leadership Academy Signal Butte,"American Leadership Academy, Inc.",English Language Arts,All,All Students,76,66,13,21,49,17
American Leadership Academy Signal Butte,"American Leadership Academy, Inc.",Math,All,All Students,76,62,9,29,37,25
"American Leadership Academy, Gilbert","American Leadership Academy, Inc.",English Language Arts,All,All Students,1330,54,27,19,41,14
"American Leadership Academy, Gilbert","American Leadership Academy, Inc.",Math,All,All Students,1255,52,25,22,34,19
"American Leadership Academy, Higley","American Leadership Academy, Inc.",English Language Arts,All,All Students,65,60,23,17,45,15
"American Leadership Academy, Higley","American Leadership Academy, Inc.",Math,All,All Students,65,78,11,11,49,29
Primavera - Online,American Virtual Academy,English Language Arts,All,All Students,741,36,39,25,28,7
Primavera - Online,American Virtual Academy,Math,All,All Students,566,23,58,19,19,5
Amphitheater High School,Amphitheater Unified District,English Language Arts,All,All Students,883,20,62,18,15,5
Amphitheater High School,Amphitheater Unified District,Math,All,All Students,706,19,56,25,18,2
Amphitheater Middle School,Amphitheater Unified District,English Language Arts,All,All Students,742,25,51,24,23,2
Amphitheater Middle School,Amphitheater Unified District,Math,All,All Students,743,16,65,19,13,3
Canyon Del Oro High School,Amphitheater Unified District,English Language Arts,All,All Students,1076,46,34,20,30,16
Canyon Del Oro High School,Amphitheater Unified District,Math,All,All Students,792,43,29,27,32,11
Copper Creek Elementary School,Amphitheater Unified District,English Language Arts,All,All Students,217,66,23,11,48,18
Copper Creek Elementary School,Amphitheater Unified District,Math,All,All Students,218,48,18,34,33,15
Coronado K-8 School,Amphitheater Unified District,English Language Arts,All,All Students,707,51,28,21,39,12
Coronado K-8 School,Amphitheater Unified District,Math,All,All Students,711,46,27,27,30,16
E C Nash School,Amphitheater Unified District,English Language Arts,All,All Students,182,27,54,19,24,3
E C Nash School,Amphitheater Unified District,Math,All,All Students,179,26,49,25,22,4
Frances Owen Holaway Elementary School,Amphitheater Unified District,English Language Arts,All,All Students,183,32,49,20,23,8
Frances Owen Holaway Elementary School,Amphitheater Unified District,Math,All,All Students,184,30,39,31,27,4
Helen Keeling Elementary School,Amphitheater Unified District,English Language Arts,All,All Students,192,18,66,16,16,3
Helen Keeling Elementary School,Amphitheater Unified District,Math,All,All Students,190,15,57,27,14,2
Ironwood Ridge High School,Amphitheater Unified District,English Language Arts,All,All Students,1358,41,39,20,27,13
Ironwood Ridge High School,Amphitheater Unified District,Math,All,All Students,1128,34,37,29,28,6
L M Prince School,Amphitheater Unified District,English Language Arts,All,All Students,315,22,58,20,18,4
L M Prince School,Amphitheater Unified District,Math,All,All Students,316,17,60,23,14,3
La Cima Middle School,Amphitheater Unified District,English Language Arts,All,All Students,460,37,36,27,33,4
La Cima Middle School,Amphitheater Unified District,Math,All,All Students,463,31,41,28,24,7
Lawrence W Cross Middle School,Amphitheater Unified District,English Language Arts,All,All Students,654,54,22,24,43,11
Lawrence W Cross Middle School,Amphitheater Unified District,Math,All,All Students,663,51,27,21,32,19
Lulu Walker School,Amphitheater Unified District,English Language Arts,All,All Students,216,44,35,20,35,10
Lulu Walker School,Amphitheater Unified District,Math,All,All Students,217,51,23,26,42,9
Marion Donaldson Elementary School,Amphitheater Unified District,English Language Arts,All,All Students,159,42,40,18,28,14
Marion Donaldson Elementary School,Amphitheater Unified District,Math,All,All Students,158,39,28,33,28,11
Mesa Verde Elementary School,Amphitheater Unified District,English Language Arts,All,All Students,187,59,30,11,34,25
Mesa Verde Elementary School,Amphitheater Unified District,Math,All,All Students,187,65,15,20,43,22
Painted Sky Elementary School,Amphitheater Unified District,English Language Arts,All,All Students,220,74,13,13,47,27
Painted Sky Elementary School,Amphitheater Unified District,Math,All,All Students,221,74,7,19,38,36
Richard B Wilson Jr School,Amphitheater Unified District,English Language Arts,All,All Students,993,59,19,22,42,17
Richard B Wilson Jr School,Amphitheater Unified District,Math,All,All Students,1006,57,19,23,32,26
Rio Vista Elementary School,Amphitheater Unified District,English Language Arts,All,All Students,250,42,38,21,34,8
Rio Vista Elementary School,Amphitheater Unified District,Math,All,All Students,244,44,25,31,34,10
The Innovation Academy,Amphitheater Unified District,English Language Arts,All,All Students,132,70,16,14,45,25
The Innovation Academy,Amphitheater Unified District,Math,All,All Students,132,71,11,17,42,29
Winifred Harelson Elementary School,Amphitheater Unified District,English Language Arts,All,All Students,305,72,16,12,47,25
Winifred Harelson Elementary School,Amphitheater Unified District,Math,All,All Students,305,68,10,23,38,30
Antelope Union High School,Antelope Union High School District,English Language Arts,All,All Students,150,15,65,19,11,5
Great Hearts Academies - Anthem Prep,Anthem Preparatory Academy,English Language Arts,All,All Students,549,74,10,15,48,27
Great Hearts Academies - Anthem Prep,Anthem Preparatory Academy,Math,All,All Students,531,66,14,20,37,29
Apache Junction High School,Apache Junction Unified District,English Language Arts,All,All Students,871,22,61,16,17,5
Apache Junction High School,Apache Junction Unified District,Math,All,All Students,833,19,62,19,17,2
Cactus Canyon Junior High,Apache Junction Unified District,English Language Arts,All,All Students,602,30,49,20,24,6
Cactus Canyon Junior High,Apache Junction Unified District,Math,All,All Students,642,30,48,22,17,13
Desert Vista Elementary School,Apache Junction Unified District,English Language Arts,All,All Students,403,32,52,16,29,4
Desert Vista Elementary School,Apache Junction Unified District,Math,All,All Students,406,39,39,22,28,11
Four Peaks Elementary School,Apache Junction Unified District,English Language Arts,All,All Students,422,28,54,18,24,4
Four Peaks Elementary School,Apache Junction Unified District,Math,All,All Students,423,37,39,24,27,11
Peralta Trail Elementary School,Apache Junction Unified District,English Language Arts,All,All Students,302,38,45,17,29,9
Peralta Trail Elementary School,Apache Junction Unified District,Math,All,All Students,303,44,34,23,29,15
Southside Community School,Aprender Tucson,Math,All,All Students,167,31,42,28,24,7
Great Hearts Academies - Archway Arete,Archway Classical Academy Arete,English Language Arts,All,All Students,253,78,10,12,46,32
Great Hearts Academies - Archway Arete,Archway Classical Academy Arete,Math,All,All Students,253,83,4,12,36,47
Great Hearts Academies - Archway Chandler,Archway Classical Academy Chandler,English Language Arts,All,All Students,264,81,9,10,44,37
Great Hearts Academies - Archway Chandler,Archway Classical Academy Chandler,Math,All,All Students,264,88,2,11,35,52
Great Hearts Academies - Archway Cicero,Archway Classical Academy Cicero,English Language Arts,All,All Students,252,65,21,14,45,20
Great Hearts Academies - Archway Cicero,Archway Classical Academy Cicero,Math,All,All Students,253,79,4,18,43,36
Great Hearts Academies - Archway Glendale,Archway Classical Academy Glendale,English Language Arts,All,All Students,268,76,14,10,50,26
Great Hearts Academies - Archway Glendale,Archway Classical Academy Glendale,Math,All,All Students,268,84,3,13,46,38
Great Hearts Academies - Archway Lincoln,Archway Classical Academy Lincoln,English Language Arts,All,All Students,330,75,11,14,45,30
Great Hearts Academies - Archway Lincoln,Archway Classical Academy Lincoln,Math,All,All Students,330,84,4,12,38,46
Great Hearts Academies - Archway North Phoenix,Archway Classical Academy North Phoenix,English Language Arts,All,All Students,444,63,19,18,47,16
Great Hearts Academies - Archway North Phoenix,Archway Classical Academy North Phoenix,Math,All,All Students,445,71,6,23,48,23
Great Hearts Academies - Archway Scottsdale,Archway Classical Academy Scottsdale,English Language Arts,All,All Students,152,91,5,4,51,39
Great Hearts Academies - Archway Scottsdale,Archway Classical Academy Scottsdale,Math,All,All Students,152,94,2,4,44,50
Great Hearts Academies - Archway Trivium East,Archway Classical Academy Trivium East,English Language Arts,All,All Students,237,50,35,15,38,12
Great Hearts Academies - Archway Trivium East,Archway Classical Academy Trivium East,Math,All,All Students,237,69,9,22,41,29
Great Hearts Academies - Archway Trivium West,Archway Classical Academy Trivium West,English Language Arts,All,All Students,259,75,13,12,47,27
Great Hearts Academies - Archway Trivium West,Archway Classical Academy Trivium West,Math,All,All Students,261,78,3,18,43,35
Great Hearts Academies - Archway Veritas,Archway Classical Academy Veritas,English Language Arts,All,All Students,265,65,15,20,41,24
Great Hearts Academies - Archway Veritas,Archway Classical Academy Veritas,Math,All,All Students,265,77,6,17,45,32
Great Hearts Academies - Arete Prep,Arete Preparatory Academy,English Language Arts,All,All Students,467,58,18,25,40,17
Great Hearts Academies - Arete Prep,Arete Preparatory Academy,Math,All,All Students,393,58,19,23,36,22
"Arizona Agribusiness & Equine Center, Inc. - Mesa",Arizona Agribusiness & Equine Center INC.,English Language Arts,All,All Students,38,55,18,26,34,21
"Arizona Agribusiness & Equine Center, Inc. - Mesa",Arizona Agribusiness & Equine Center INC.,Math,All,All Students,39,38,38,23,31,8
AAEC - Paradise Valley,"Arizona Agribusiness & Equine Center, Inc.",English Language Arts,All,All Students,263,62,17,21,37,25
AAEC - Paradise Valley,"Arizona Agribusiness & Equine Center, Inc.",Math,All,All Students,236,58,22,20,43,15
AAEC - SMCC Campus,"Arizona Agribusiness & Equine Center, Inc.",English Language Arts,All,All Students,361,45,31,24,32,13
AAEC - SMCC Campus,"Arizona Agribusiness & Equine Center, Inc.",Math,All,All Students,359,28,42,31,24,4
Arizona Agribusiness & Equine Center - Estrella,"Arizona Agribusiness & Equine Center, Inc.",English Language Arts,All,All Students,339,64,14,22,34,30
Arizona Agribusiness & Equine Center - Estrella,"Arizona Agribusiness & Equine Center, Inc.",Math,All,All Students,316,67,12,22,47,20
"Arizona Agribusiness & Equine Center, Inc. - Prescott Valley","Arizona Agribusiness & Equine Center, Inc.",English Language Arts,All,All Students,185,59,18,23,40,19
"Arizona Agribusiness & Equine Center, Inc. - Prescott Valley","Arizona Agribusiness & Equine Center, Inc.",Math,All,All Students,179,50,21,28,40,11
"Arizona Agribusiness & Equine Center, Inc. - Red Mountain","Arizona Agribusiness & Equine Center, Inc.",English Language Arts,All,All Students,101,61,18,21,34,28
"Arizona Agribusiness & Equine Center, Inc. - Red Mountain","Arizona Agribusiness & Equine Center, Inc.",Math,All,All Students,101,51,26,23,47,5
La Paloma Academy,Arizona Community Development Corporation,English Language Arts,All,All Students,477,31,45,24,26,5
La Paloma Academy,Arizona Community Development Corporation,Math,All,All Students,477,45,29,26,31,13
La Paloma Academy (Lakeside),Arizona Community Development Corporation,English Language Arts,All,All Students,504,38,39,23,33,5
La Paloma Academy (Lakeside),Arizona Community Development Corporation,Math,All,All Students,505,42,32,26,31,11
La Paloma Academy-South,Arizona Community Development Corporation,English Language Arts,All,All Students,270,18,68,14,14,3
La Paloma Academy-South,Arizona Community Development Corporation,Math,All,All Students,274,15,68,18,12,3
Arizona Connections Academy,"Arizona Connections Academy Charter School, Inc.",English Language Arts,All,All Students,1790,40,40,20,31,9
Arizona Connections Academy,"Arizona Connections Academy Charter School, Inc.",Math,All,All Students,1635,27,47,25,19,8
Arizona Language Preparatory,Arizona Language Preparatory,English Language Arts,All,All Students,15,73,20,7,33,40
Arizona Language Preparatory,Arizona Language Preparatory,Math,All,All Students,15,67,13,20,20,47
AMCS at Anthem dba Caurus Academy,Arizona Montessori Charter School at Anthem,English Language Arts,All,All Students,253,58,23,19,42,17
AMCS at Anthem dba Caurus Academy,Arizona Montessori Charter School at Anthem,Math,All,All Students,254,63,19,18,31,32
Arizona School For The Arts,Arizona School For The Arts,English Language Arts,All,All Students,736,80,5,14,45,35
Arizona School For The Arts,Arizona School For The Arts,Math,All,All Students,699,65,13,23,40,25
Arlington Elementary School,Arlington Elementary District,English Language Arts,All,All Students,169,29,44,27,26,3
Arlington Elementary School,Arlington Elementary District,Math,All,All Students,170,41,35,24,32,9
Ash Creek Elementary,Ash Creek Elementary District,English Language Arts,All,All Students,13,38,46,15,15,23
Ash Creek Elementary,Ash Creek Elementary District,Math,All,All Students,13,54,31,15,38,15
Ash Fork Elementary School,Ash Fork Joint Unified District,English Language Arts,All,All Students,70,64,19,17,40,24
Ash Fork Elementary School,Ash Fork Joint Unified District,Math,All,All Students,70,64,13,23,36,29
Ash Fork High School,Ash Fork Joint Unified District,English Language Arts,All,All Students,56,52,32,16,36,16
Ash Fork High School,Ash Fork Joint Unified District,Math,All,All Students,52,42,37,21,40,2
Ash Fork Middle School,Ash Fork Joint Unified District,English Language Arts,All,All Students,62,52,27,21,35,16
Ash Fork Middle School,Ash Fork Joint Unified District,Math,All,All Students,66,55,30,15,26,29
ASU Preparatory Academy - Phoenix Middle School,ASU Preparatory Academy,English Language Arts,All,All Students,352,41,37,22,36,5
ASU Preparatory Academy - Phoenix Middle School,ASU Preparatory Academy,Math,All,All Students,352,33,38,29,19,14
ASU Preparatory Academy - Tempe,ASU Preparatory Academy,English Language Arts,All,All Students,18,33,44,22,11,22
ASU Preparatory Academy - Tempe,ASU Preparatory Academy,Math,All,All Students,18,22,44,33,11,11
ASU Preparatory Academy- Phoenix Elementary,ASU Preparatory Academy,English Language Arts,All,All Students,157,45,44,11,34,11
ASU Preparatory Academy- Phoenix Elementary,ASU Preparatory Academy,Math,All,All Students,157,43,22,35,31,12
ASU Preparatory Academy- Phoenix High School,ASU Preparatory Academy,English Language Arts,All,All Students,288,35,44,20,24,11
ASU Preparatory Academy- Phoenix High School,ASU Preparatory Academy,Math,All,All Students,275,48,28,24,32,16
ASU Preparatory Academy-Polytechnic Elementary,ASU Preparatory Academy,English Language Arts,All,All Students,144,74,15,10,42,32
ASU Preparatory Academy-Polytechnic Elementary,ASU Preparatory Academy,Math,All,All Students,144,78,8,15,36,42
ASU Preparatory Academy-Polytechnic High School,ASU Preparatory Academy,English Language Arts,All,All Students,194,64,17,19,39,25
ASU Preparatory Academy-Polytechnic High School,ASU Preparatory Academy,Math,All,All Students,191,65,15,20,41,24
ASU Preparatory Academy-Polytechnic Middle School,ASU Preparatory Academy,English Language Arts,All,All Students,289,72,12,16,48,24
ASU Preparatory Academy-Polytechnic Middle School,ASU Preparatory Academy,Math,All,All Students,292,63,16,22,37,26
ASU Preparatory Academy - Casa Grande HS,ASU Preparatory Academy - Casa Grande,English Language Arts,All,All Students,143,57,19,24,35,22
ASU Preparatory Academy - Casa Grande HS,ASU Preparatory Academy - Casa Grande,Math,All,All Students,114,61,14,25,47,13
ASU Preparatory Academy Digital,ASU Preparatory Academy Digital,English Language Arts,All,All Students,32,69,9,22,38,31
ASU Preparatory Academy Digital,ASU Preparatory Academy Digital,Math,All,All Students,28,61,25,14,46,14
Avondale Middle School,Avondale Elementary District,English Language Arts,All,All Students,430,24,55,21,22,2
Avondale Middle School,Avondale Elementary District,Math,All,All Students,431,28,51,21,20,8
Centerra Mirage STEM Academy,Avondale Elementary District,English Language Arts,All,All Students,366,46,34,19,37,10
Centerra Mirage STEM Academy,Avondale Elementary District,Math,All,All Students,373,53,28,19,22,31
Copper Trails,Avondale Elementary District,English Language Arts,All,All Students,765,53,27,20,41,12
Copper Trails,Avondale Elementary District,Math,All,All Students,767,49,28,24,31,18
Desert Star,Avondale Elementary District,English Language Arts,All,All Students,500,33,45,22,27,5
Desert Star,Avondale Elementary District,Math,All,All Students,504,34,41,25,21,13
Desert Thunder,Avondale Elementary District,English Language Arts,All,All Students,476,45,32,22,32,13
Desert Thunder,Avondale Elementary District,Math,All,All Students,482,44,31,24,27,18
Eliseo C. Felix School,Avondale Elementary District,English Language Arts,All,All Students,381,22,60,18,19,3
Eliseo C. Felix School,Avondale Elementary District,Math,All,All Students,382,24,51,26,18,6
Michael Anderson,Avondale Elementary District,English Language Arts,All,All Students,606,28,53,19,23,5
Michael Anderson,Avondale Elementary District,Math,All,All Students,609,39,38,23,27,12
Wildflower School,Avondale Elementary District,English Language Arts,All,All Students,282,55,23,22,32,23
Wildflower School,Avondale Elementary District,Math,All,All Students,286,63,19,19,29,34
Baboquivari High School,Baboquivari Unified School District #40,English Language Arts,All,All Students,139,14,71,15,12,2
Baboquivari High School,Baboquivari Unified School District #40,Math,All,All Students,149,11,73,15,9,2
Indian Oasis Intermediate Elementary School,Baboquivari Unified School District #40,Math,All,All Students,233,28,49,23,22,6
Indian Oasis Primary Elementary School,Baboquivari Unified School District #40,English Language Arts,All,All Students,93,24,61,15,19,4
Indian Oasis Primary Elementary School,Baboquivari Unified School District #40,Math,All,All Students,93,23,49,28,19,3
Bagdad Elementary School,Bagdad Unified District,English Language Arts,All,All Students,118,42,41,18,36,6
Bagdad Elementary School,Bagdad Unified District,Math,All,All Students,118,30,34,36,25,5
Bagdad Middle / Senior High School,Bagdad Unified District,English Language Arts,All,All Students,178,30,45,25,24,6
Bagdad Middle / Senior High School,Bagdad Unified District,Math,All,All Students,181,20,56,23,15,6
"Dobson Academy, The - A Ball Charter School",Ball Charter Schools (Dobson),English Language Arts,All,All Students,277,55,27,18,40,16
"Dobson Academy, The - A Ball Charter School",Ball Charter Schools (Dobson),Math,All,All Students,278,51,24,25,32,19
"Hearn Academy, The - A Ball Charter School",Ball Charter Schools (Hearn),English Language Arts,All,All Students,441,68,16,16,46,22
"Hearn Academy, The - A Ball Charter School",Ball Charter Schools (Hearn),Math,All,All Students,465,77,6,17,32,45
Ball Charter Schools (Val Vista),Ball Charter Schools (Val Vista),English Language Arts,All,All Students,177,57,24,19,38,19
Ball Charter Schools (Val Vista),Ball Charter Schools (Val Vista),Math,All,All Students,179,59,18,22,31,28
Balsz Elementary School,Balsz Elementary District,English Language Arts,All,All Students,732,20,62,18,17,3
